faculty_phd,faculty_other,frac_research_phd,frac_research_other,research_budget_million,centres_of_excellence_count,teaching_load_per_faculty,diversity_index,industry_collaborations,student_count,num_courses,papers_t1,citation_percentile_avg,overall_rank,cost_efficiency
5.0,13,0.3186693599504146,0.1061548515080378,102682.86848564807,7.745500237522655,15.0,0.5836960831259723,81.0,7110.979789383576,47.0,5000.0,0.5363313322437352,152.03924344153137,251.4599910987718
199.0,45,0.3683739808285903,0.5501606340371358,3745.910135767724,9.0,8.663292328041244,0.6238276858349162,48.952020118696936,3116.4091209354274,47.0,10.0,0.8216175985252997,155.0,152.2067811201273
5.0,16,0.5274162757314584,0.05,100000.0,11.405053896591317,11.055492766758691,0.7590248648124811,54.09025253512824,3771.151691961366,28.0,5000.0,0.8681602670208307,144.58039122789683,56.59892391756853
55.0,16,0.3773092272001529,0.05,3745.910135767724,11.405053896591317,11.055492766758691,0.5216377360861622,39.0,6467.347063261765,106.0,26.0,1.0,188.30627607400737,169.47577611197573
199.0,71,0.6300551642748937,0.05,3745.910135767724,9.0,8.663292328041244,0.6524551004092407,63.75575872230224,7111.0,47.0,26.0,0.6627824792105674,455.0,152.2067811201273
5.0,45,0.6300551642748937,0.05,3745.910135767724,11.405053896591317,8.663292328041244,0.6524551004092407,39.0,7110.975784131663,106.0,11.0,1.0,152.03924344153137,152.2067811201273
5.0,13,0.4696474137472572,0.05,315.703137938158,9.0,12.896535066739597,0.1116416111106377,76.80507719592718,3039.9581374432173,254.0,5000.0,0.8681602670208307,382.0,152.2067811201273
51.0,13,0.3186693599504146,0.1061548515080378,102682.86848564807,7.745500237522655,15.0,0.5836960831259723,54.09025253512824,741.0,159.0,5000.0,1.0,132.40272802157,251.4599910987718
5.0,71,0.3683739808285903,0.05,159921.08546609286,11.405053896591317,5.172428871346138,0.4317855779242594,93.0,3348.633162575035,252.0,5000.0,0.8216175985252997,91.62662735015859,152.2067811201273
5.0,13,0.3683739808285903,0.05,3745.910135767724,9.0,15.0,0.5836960831259723,40.19850629472585,7111.0,252.0,5000.0,0.8216175985252997,58.0,251.4599910987718
5.0,79,0.3186693599504146,0.05,102682.86848564807,3.973992398803846,10.938879905326022,0.611939512346158,93.0,3735.6199173138157,252.0,5000.0,0.6627824792105674,155.0,132.9721118249659
5.0,45,0.3683739808285903,0.05,509.15751842709625,11.405053896591317,7.961502191606451,0.5663422451550816,19.0,7111.0,47.0,5000.0,0.6627824792105674,154.84675417483413,152.2067811201273
5.0,13,0.3683739808285903,0.05,159921.08546609286,11.405053896591317,5.172428871346138,0.6209154750563879,54.09025253512824,3348.633162575035,252.0,5000.0,1.0,132.40272802157,132.9721118249659
5.0,71,0.6300551642748937,0.05,315.703137938158,9.0,11.055492766758691,0.1116416111106377,78.69331775661475,6467.347063261765,106.0,11.0,0.5363313322437352,182.29739657697468,132.9721118249659
199.0,79,0.6300551642748937,0.5501606340371358,102682.86848564807,14.0,9.964807075714578,0.6773576978292041,63.75575872230224,3116.4091209354274,106.0,10.0,0.5375601109921441,154.62892359090085,132.9721118249659
199.0,16,0.3773092272001529,0.5501606340371358,315.703137938158,11.405053896591317,15.0,0.611939512346158,40.19850629472585,6467.347063261765,28.04440611129352,5000.0,1.0,184.21187317280612,132.9721118249659
5.0,79,0.6300551642748937,0.05,315.703137938158,11.405053896591317,9.686458138486584,0.5457365836148885,73.0686645896125,7111.0,11.0,5000.0,0.5375601109921441,146.8449706871587,132.9721118249659
5.0,13,0.3773092272001529,0.05,509.15751842709625,7.745500237522655,11.055492766758691,0.5663422451550816,93.0,5539.571789499727,159.0,5000.0,1.0,108.1013364157929,251.4599910987718
199.0,71,0.6300551642748937,0.05,509.15751842709625,4.010873377134887,8.663292328041244,0.6524551004092407,81.0,7111.0,47.0,11.0,0.6627824792105674,455.0,152.2067811201273
5.0,16,0.3683739808285903,0.05,100000.0,4.010873377134887,11.055492766758691,0.7590248648124811,19.0,3771.151691961366,28.0,5000.0,1.0,144.58039122789683,152.2067811201273
55.0,16,0.6300551642748937,0.05,315.703137938158,4.010873377134887,9.45090275794757,0.6773576978292041,70.26593951981674,7111.007401577184,106.0,10.0,0.6627824792105674,184.8331074807425,169.47577611197573
51.0,45,0.5274162757314584,0.05,2817.350317576279,9.0,9.45090275794757,0.1116416111106377,19.0,4616.0,158.0,10.0,0.6042018583845504,431.0,56.59892391756853
5.0,16,0.3186693599504146,0.05,102682.86848564807,13.0,15.0,0.611939512346158,39.0,741.0,106.0,5000.0,1.0,141.54176114708434,169.47577611197573
5.0,13,0.6300551642748937,0.1061548515080378,102682.86848564807,4.010873377134887,5.172428871346138,0.5836960831259723,93.0,741.0,28.0,5000.0,0.8681602670208307,158.10822226936648,152.2067811201273
51.0,64,0.3683739808285903,0.05,159921.08546609286,11.405053896591317,11.055492766758691,0.5216377360861622,91.1181059628343,5331.569325952098,47.0,26.0,0.5363313322437352,155.0,56.59892391756853
